model,array_dim,batch_size,cycle_count
deepseek_v4,128x128,32,126106251293632.0
deepseek_v4,128x128,64,229187442357568.0
deepseek_v4,128x128,128,435349824485440.0
deepseek_v4,128x128,256,847674588741184.0
deepseek_v4,128x128,512,1672324117252672.0
deepseek_v4,256x256,32,96143562811063.98
deepseek_v4,256x256,64,180615151265847.97
deepseek_v4,256x256,128,349558328175415.94
deepseek_v4,256x256,256,687444681994551.9
deepseek_v4,256x256,512,1363217389632823.8
deepseek_v4,32x32,32,534013071316224.0
deepseek_v4,32x32,64,978545444485888.0
deepseek_v4,32x32,128,1867610190825216.0
deepseek_v4,32x32,256,3645739683503872.0
deepseek_v4,32x32,512,7201998668861184.0
deepseek_v4,512x512,32,81766467762324.0
deepseek_v4,512x512,64,157570224912916.0
deepseek_v4,512x512,128,309177739214100.0
deepseek_v4,512x512,256,612392767816468.0
deepseek_v4,512x512,512,1218822825021204.0
deepseek_v4,64x64,32,190170818491712.0
deepseek_v4,64x64,64,334879669376704.0
deepseek_v4,64x64,128,624297371146688.0
deepseek_v4,64x64,256,1203132774686656.0
deepseek_v4,64x64,512,2360803581766592.0
llama_3_1_405b,128x128,32,2093439643516416.0
llama_3_1_405b,128x128,64,3366857893971456.0
llama_3_1_405b,128x128,128,5913694394881536.0
llama_3_1_405b,128x128,256,1.1007367396701696e+16
llama_3_1_405b,128x128,512,2.1194713400342016e+16
llama_3_1_405b,256x256,32,1578299568104832.0
llama_3_1_405b,256x256,64,2744974224338304.0
llama_3_1_405b,256x256,128,5078323536805248.0
llama_3_1_405b,256x256,256,9745022161739136.0
llama_3_1_405b,256x256,512,1.907841941160691e+16
llama_3_1_405b,32x32,32,1.0260672482353152e+16
llama_3_1_405b,32x32,64,1.7318741728813056e+16
llama_3_1_405b,32x32,128,3.1434880221732864e+16
llama_3_1_405b,32x32,256,5.966715720757248e+16
llama_3_1_405b,32x32,512,1.1613171117925171e+17
llama_3_1_405b,512x512,32,1340522914297664.0
llama_3_1_405b,512x512,64,2474827676565312.0
llama_3_1_405b,512x512,128,4743437201100608.0
llama_3_1_405b,512x512,256,9280656250171200.0
llama_3_1_405b,512x512,512,1.8355094348312384e+16
llama_3_1_405b,64x64,32,4500824353400832.0
llama_3_1_405b,64x64,64,7374519643404288.0
llama_3_1_405b,64x64,128,1.31219102234112e+16
llama_3_1_405b,64x64,256,2.4616691383425024e+16
llama_3_1_405b,64x64,512,4.760625370345267e+16
llama_3_1_70b,128x128,32,879834803014400.0
llama_3_1_70b,128x128,64,1618510003555072.0
llama_3_1_70b,128x128,128,3095860404636416.0
llama_3_1_70b,128x128,256,6050561206799104.0
llama_3_1_70b,128x128,512,1.195996281112448e+16
llama_3_1_70b,256x256,32,788628742795968.0
llama_3_1_70b,256x256,64,1506399811121856.0
llama_3_1_70b,256x256,128,2941941947773632.0
llama_3_1_70b,256x256,256,5813026221077184.0
llama_3_1_70b,256x256,512,1.1555194767684288e+16
llama_3_1_70b,32x32,32,3915362781147136.0
llama_3_1_70b,32x32,64,7279425067593728.0
llama_3_1_70b,32x32,128,1.4007549640486912e+16
llama_3_1_70b,32x32,256,2.746379878627328e+16
llama_3_1_70b,32x32,512,5.437629707784602e+16
llama_3_1_70b,512x512,32,747184295985312.0
llama_3_1_70b,512x512,64,1458869215297696.0
llama_3_1_70b,512x512,128,2882239053922464.0
llama_3_1_70b,512x512,256,5728978731172000.0
llama_3_1_70b,512x512,512,1.1422458085671072e+16
llama_3_1_70b,64x64,32,1825330312621056.0
llama_3_1_70b,64x64,64,3370564406160384.0
llama_3_1_70b,64x64,128,6461032593239040.0
llama_3_1_70b,64x64,256,1.2641968967396352e+16
llama_3_1_70b,64x64,512,2.5003841715710976e+16
llama_3_1_8b,128x128,32,301114091988352.0
llama_3_1_8b,128x128,64,586986047726976.0
llama_3_1_8b,128x128,128,1158729959204224.0
llama_3_1_8b,128x128,256,2302217782158720.0
llama_3_1_8b,128x128,512,4589193428067712.0
llama_3_1_8b,256x256,32,291257235687776.0
llama_3_1_8b,256x256,64,574863399045472.0
llama_3_1_8b,256x256,128,1142075725760864.0
llama_3_1_8b,256x256,256,2276500379191648.0
llama_3_1_8b,256x256,512,4545349686053216.0
llama_3_1_8b,32x32,32,1251634797303808.0
llama_3_1_8b,32x32,64,2443741251459072.0
llama_3_1_8b,32x32,128,4827954159769600.0
llama_3_1_8b,32x32,256,9596379976390656.0
llama_3_1_8b,32x32,512,1.913323160963277e+16
llama_3_1_8b,512x512,32,287079000829008.0
llama_3_1_8b,512x512,64,570324428876880.0
llama_3_1_8b,512x512,128,1136815284972624.0
llama_3_1_8b,512x512,256,2269796997164112.0
llama_3_1_8b,512x512,512,4535760421547088.0
llama_3_1_8b,64x64,32,609953968297472.0
llama_3_1_8b,64x64,64,1189663697737216.0
llama_3_1_8b,64x64,128,2349083156616704.0
llama_3_1_8b,64x64,256,4667922074375680.0
llama_3_1_8b,64x64,512,9305599909893632.0
